pm10,pm25,co,so2,no2,o3,datatime
11,5,0.4,0.003,0.013,0.049,14
10,2,0.4,0.003,0.012,0.044,13
12,4,0.4,0.003,0.013,0.039,12
10,6,0.4,0.003,0.015,0.037,11
10,3,0.4,0.003,0.015,0.035,10
9,2,0.4,0.003,0.020,0.029,09
11,4,0.4,0.002,0.021,0.022,08
7,6,0.4,0.003,0.019,0.020,07
6,1,0.3,0.003,0.015,0.024,06
6,4,0.3,0.002,0.009,0.031,05
5,2,0.3,0.002,0.009,0.033,04
3,2,0.3,0.002,0.008,0.033,03
5,1,0.3,0.003,0.010,0.030,02
7,3,0.3,0.003,0.011,0.029,01
3,1,0.3,0.002,0.013,0.028,24
5,2,0.3,0.003,0.012,0.030,23
4,1,0.4,0.003,0.014,0.027,22
4,3,0.4,0.002,0.015,0.025,21
3,1,0.4,0.003,0.016,0.025,20
5,1,0.4,0.003,0.016,0.024,19
6,2,0.4,0.003,0.015,0.028,18
5,2,0.4,0.003,0.013,0.032,17
3,1,0.4,0.003,0.015,0.023,07
3,1,0.3,0.003,0.010,0.027,06
3,1,0.3,0.003,0.007,0.030,05
3,1,0.3,0.003,0.007,0.029,04
3,1,0.3,0.003,0.006,0.031,03
3,3,0.3,0.003,0.007,0.031,02
5,3,0.4,0.003,0.010,0.028,01
4,4,0.4,0.003,0.012,0.028,24
8,7,0.4,0.003,0.012,0.031,23
6,5,0.4,0.003,0.011,0.033,22
8,6,0.4,0.003,0.013,0.035,21
10,7,0.4,0.003,0.017,0.030,20
13,8,0.4,0.003,0.018,0.029,19
15,10,0.4,0.003,0.018,0.029,18
9,3,0.5,0.003,0.020,0.029,17
21,17,0.6,0.003,0.027,0.025,15
22,16,0.6,0.003,0.026,0.028,14
37,24,0.6,0.003,0.026,0.028,13
41,24,0.6,0.003,0.028,0.017,12
40,23,0.6,0.003,0.032,0.011,11
40,23,0.6,0.003,0.029,0.012,10
38,22,0.6,0.003,0.027,0.013,09
38,23,0.5,0.003,0.021,0.018,08
40,22,0.6,0.003,0.027,0.009,07
38,23,0.5,0.003,0.019,0.020,06
38,26,0.5,0.003,0.017,0.022,05
38,23,0.6,0.003,0.025,0.011,04
40,26,0.6,0.003,0.023,0.015,03
37,23,0.6,0.003,0.023,0.017,02
40,24,0.6,0.003,0.022,0.020,01
37,24,0.6,0.002,0.022,0.028,24
46,25,0.6,0.003,0.020,0.030,23
44,25,0.5,0.003,0.023,0.031,22
44,27,0.6,0.003,0.022,0.040,21
38,24,0.6,0.003,0.024,0.043,20
43,27,0.6,0.003,0.019,0.062,19
44,27,0.6,0.003,0.019,0.080,18
36,24,0.5,0.003,0.015,0.078,17
32,21,0.5,0.003,0.013,0.068,16
32,22,0.5,0.003,0.012,0.067,15
36,22,0.6,0.003,0.018,0.058,14
38,23,0.6,0.003,0.027,0.044,13
36,23,0.6,0.003,0.023,0.046,12
31,20,0.5,0.003,0.021,0.039,11
30,17,0.6,0.003,0.026,0.022,10
30,19,0.5,0.003,0.023,0.019,09
32,20,0.5,0.003,0.023,0.014,08
33,21,0.5,0.003,0.026,0.006,07
32,19,0.5,0.003,0.016,0.018,06
29,20,0.5,0.003,0.018,0.014,05
28,17,0.5,0.003,0.018,0.016,04
26,16,0.4,0.003,0.013,0.031,03
31,20,0.5,0.003,0.016,0.024,02
48,22,0.5,0.003,0.017,0.024,01
34,20,0.5,0.003,0.014,0.030,24
33,22,0.5,0.003,0.017,0.029,23
32,21,0.5,0.003,0.018,0.031,22
33,21,0.5,0.003,0.017,0.037,21
31,22,0.5,0.003,0.011,0.047,20
29,22,0.4,0.003,0.009,0.058,19
27,18,0.4,0.003,0.008,0.061,18
24,16,0.4,0.003,0.007,0.063,17
