,Survived,Pclass,Sex,Age,Fare,Embarked,Class,Adult_Male,Embarktown
0,0,3,male,22.0,7.25,S,Third,True,Southampton
1,1,1,female,38.0,71.2833,C,First,False,Cherbourg
2,1,3,female,26.0,7.925,S,Third,False,Southampton
3,1,1,female,35.0,53.1,S,First,False,Southampton
4,0,3,male,35.0,8.05,S,Third,True,Southampton
5,0,3,male,29.69911764705882,8.4583,Q,Third,True,Queenstown
6,0,1,male,54.0,51.8625,S,First,True,Southampton
7,0,3,male,2.0,21.075,S,Third,False,Southampton
8,1,3,female,27.0,11.1333,S,Third,False,Southampton
9,1,2,female,14.0,30.0708,C,Second,False,Cherbourg
10,1,3,female,4.0,16.7,S,Third,False,Southampton
11,1,1,female,58.0,26.55,S,First,False,Southampton
12,0,3,male,20.0,8.05,S,Third,True,Southampton
13,0,3,male,39.0,31.275,S,Third,True,Southampton
14,0,3,female,14.0,7.8542,S,Third,False,Southampton
15,1,2,female,55.0,16.0,S,Second,False,Southampton
16,0,3,male,2.0,29.125,Q,Third,False,Queenstown
17,1,2,male,29.69911764705882,13.0,S,Second,True,Southampton
18,0,3,female,31.0,18.0,S,Third,False,Southampton
19,1,3,female,29.69911764705882,7.225,C,Third,False,Cherbourg
20,0,2,male,35.0,26.0,S,Second,True,Southampton
21,1,2,male,34.0,13.0,S,Second,True,Southampton
22,1,3,female,15.0,8.0292,Q,Third,False,Queenstown
23,1,1,male,28.0,35.5,S,First,True,Southampton
24,0,3,female,8.0,21.075,S,Third,False,Southampton
25,1,3,female,38.0,31.3875,S,Third,False,Southampton
26,0,3,male,29.69911764705882,7.225,C,Third,True,Cherbourg
27,0,1,male,19.0,263.0,S,First,True,Southampton
28,1,3,female,29.69911764705882,7.8792,Q,Third,False,Queenstown
29,0,3,male,29.69911764705882,7.8958,S,Third,True,Southampton
30,0,1,male,40.0,27.7208,C,First,True,Cherbourg
31,1,1,female,29.69911764705882,146.5208,C,First,False,Cherbourg
32,1,3,female,29.69911764705882,7.75,Q,Third,False,Queenstown
33,0,2,male,66.0,10.5,S,Second,True,Southampton
34,0,1,male,28.0,82.1708,C,First,True,Cherbourg
35,0,1,male,42.0,52.0,S,First,True,Southampton
36,1,3,male,29.69911764705882,7.2292,C,Third,True,Cherbourg
37,0,3,male,21.0,8.05,S,Third,True,Southampton
38,0,3,female,18.0,18.0,S,Third,False,Southampton
39,1,3,female,14.0,11.2417,C,Third,False,Cherbourg
40,0,3,female,40.0,9.475,S,Third,False,Southampton
41,0,2,female,27.0,21.0,S,Second,False,Southampton
42,0,3,male,29.69911764705882,7.8958,C,Third,True,Cherbourg
43,1,2,female,3.0,41.5792,C,Second,False,Cherbourg
44,1,3,female,19.0,7.8792,Q,Third,False,Queenstown
45,0,3,male,29.69911764705882,8.05,S,Third,True,Southampton
46,0,3,male,29.69911764705882,15.5,Q,Third,True,Queenstown
47,1,3,female,29.69911764705882,7.75,Q,Third,False,Queenstown
48,0,3,male,29.69911764705882,21.6792,C,Third,True,Cherbourg
49,0,3,female,18.0,17.8,S,Third,False,Southampton
50,0,3,male,7.0,39.6875,S,Third,False,Southampton
51,0,3,male,21.0,7.8,S,Third,True,Southampton
52,1,1,female,49.0,76.7292,C,First,False,Cherbourg
53,1,2,female,29.0,26.0,S,Second,False,Southampton
54,0,1,male,65.0,61.9792,C,First,True,Cherbourg
55,1,1,male,29.69911764705882,35.5,S,First,True,Southampton
56,1,2,female,21.0,10.5,S,Second,False,Southampton
57,0,3,male,28.5,7.2292,C,Third,True,Cherbourg
58,1,2,female,5.0,27.75,S,Second,False,Southampton
59,0,3,male,11.0,46.9,S,Third,False,Southampton
60,0,3,male,22.0,7.2292,C,Third,True,Cherbourg
61,1,1,female,38.0,80.0,,First,False,
62,0,1,male,45.0,83.475,S,First,True,Southampton
63,0,3,male,4.0,27.9,S,Third,False,Southampton
64,0,1,male,29.69911764705882,27.7208,C,First,True,Cherbourg
65,1,3,male,29.69911764705882,15.2458,C,Third,True,Cherbourg
66,1,2,female,29.0,10.5,S,Second,False,Southampton
67,0,3,male,19.0,8.1583,S,Third,True,Southampton
68,1,3,female,17.0,7.925,S,Third,False,Southampton
69,0,3,male,26.0,8.6625,S,Third,True,Southampton
70,0,2,male,32.0,10.5,S,Second,True,Southampton
71,0,3,female,16.0,46.9,S,Third,False,Southampton
72,0,2,male,21.0,73.5,S,Second,True,Southampton
73,0,3,male,26.0,14.4542,C,Third,True,Cherbourg
74,1,3,male,32.0,56.4958,S,Third,True,Southampton
75,0,3,male,25.0,7.65,S,Third,True,Southampton
76,0,3,male,29.69911764705882,7.8958,S,Third,True,Southampton
77,0,3,male,29.69911764705882,8.05,S,Third,True,Southampton
78,1,2,male,0.83,29.0,S,Second,False,Southampton
79,1,3,female,30.0,12.475,S,Third,False,Southampton
80,0,3,male,22.0,9.0,S,Third,True,Southampton
81,1,3,male,29.0,9.5,S,Third,True,Southampton
82,1,3,female,29.69911764705882,7.7875,Q,Third,False,Queenstown
83,0,1,male,28.0,47.1,S,First,True,Southampton
84,1,2,female,17.0,10.5,S,Second,False,Southampton
85,1,3,female,33.0,15.85,S,Third,False,Southampton
86,0,3,male,16.0,34.375,S,Third,True,Southampton
87,0,3,male,29.69911764705882,8.05,S,Third,True,Southampton
88,1,1,female,23.0,263.0,S,First,False,Southampton
89,0,3,male,24.0,8.05,S,Third,True,Southampton
